image_id,image_path,writer_id,pen_id
4,images/00004.png,W27,8
5,images/00005.png,W17,1
7,images/00007.png,W01,8
8,images/00008.png,W17,5
9,images/00009.png,W24,4
10,images/00010.png,W11,4
11,images/00011.png,W44,4
12,images/00012.png,W45,5
13,images/00013.png,W40,1
15,images/00015.png,W34,7
16,images/00016.png,W36,2
18,images/00018.png,W12,2
19,images/00019.png,W33,8
20,images/00020.png,W49,1
24,images/00024.png,W50,8
25,images/00025.png,W16,7
26,images/00026.png,W49,3
27,images/00027.png,W11,4
28,images/00028.png,W27,3
29,images/00029.png,W44,5
30,images/00030.png,W39,7
31,images/00031.png,W01,8
33,images/00033.png,W40,3
34,images/00034.png,W42,8
35,images/00035.png,W29,7
39,images/00039.png,W29,4
41,images/00041.png,W46,8
43,images/00043.png,W49,2
44,images/00044.png,W40,3
45,images/00045.png,W42,1
46,images/00046.png,W46,6
47,images/00047.png,W13,6
49,images/00049.png,W09,7
51,images/00051.png,W34,5
52,images/00052.png,W40,1
53,images/00053.png,W48,3
57,images/00057.png,W46,5
58,images/00058.png,W07,6
59,images/00059.png,W14,5
60,images/00060.png,W03,5
61,images/00061.png,W17,4
62,images/00062.png,W24,6
63,images/00063.png,W07,2
64,images/00064.png,W41,8
65,images/00065.png,W17,5
68,images/00068.png,W28,4
69,images/00069.png,W17,8
70,images/00070.png,W49,8
72,images/00072.png,W12,3
74,images/00074.png,W33,4
75,images/00075.png,W50,8
76,images/00076.png,W05,4
78,images/00078.png,W27,8
79,images/00079.png,W42,6
80,images/00080.png,W09,3
81,images/00081.png,W42,5
82,images/00082.png,W23,6
83,images/00083.png,W41,3
86,images/00086.png,W23,5
89,images/00089.png,W10,6
90,images/00090.png,W29,4
91,images/00091.png,W06,6
92,images/00092.png,W27,3
93,images/00093.png,W35,7
98,images/00098.png,W46,5
99,images/00099.png,W27,3
100,images/00100.png,W06,6
103,images/00103.png,W15,5
104,images/00104.png,W27,2
105,images/00105.png,W13,8
106,images/00106.png,W03,4
109,images/00109.png,W30,2
110,images/00110.png,W20,7
112,images/00112.png,W04,6
113,images/00113.png,W35,8
115,images/00115.png,W48,2
116,images/00116.png,W27,1
117,images/00117.png,W03,2
118,images/00118.png,W39,3
119,images/00119.png,W17,7
120,images/00120.png,W28,1
123,images/00123.png,W04,4
124,images/00124.png,W42,5
126,images/00126.png,W19,1
130,images/00130.png,W03,3
131,images/00131.png,W05,7
133,images/00133.png,W05,8
134,images/00134.png,W38,2
135,images/00135.png,W24,6
138,images/00138.png,W44,3
139,images/00139.png,W07,4
140,images/00140.png,W36,6
142,images/00142.png,W12,6
143,images/00143.png,W37,2
145,images/00145.png,W30,6
146,images/00146.png,W45,3
147,images/00147.png,W06,5
148,images/00148.png,W19,8
149,images/00149.png,W46,7
154,images/00154.png,W46,8
155,images/00155.png,W28,6
157,images/00157.png,W44,3
158,images/00158.png,W50,6
160,images/00160.png,W37,3
162,images/00162.png,W30,5
163,images/00163.png,W17,8
164,images/00164.png,W48,7
165,images/00165.png,W29,2
167,images/00167.png,W04,2
168,images/00168.png,W15,3
170,images/00170.png,W51,8
173,images/00173.png,W34,7
174,images/00174.png,W51,2
175,images/00175.png,W03,6
178,images/00178.png,W04,1
179,images/00179.png,W51,1
181,images/00181.png,W16,3
182,images/00182.png,W48,2
183,images/00183.png,W27,4
184,images/00184.png,W17,8
187,images/00187.png,W24,2
188,images/00188.png,W06,5
191,images/00191.png,W03,2
192,images/00192.png,W36,4
193,images/00193.png,W44,7
195,images/00195.png,W30,8
196,images/00196.png,W04,3
198,images/00198.png,W05,5
200,images/00200.png,W05,7
202,images/00202.png,W34,8
204,images/00204.png,W03,6
205,images/00205.png,W39,5
207,images/00207.png,W38,3
208,images/00208.png,W20,5
209,images/00209.png,W42,7
214,images/00214.png,W15,1
216,images/00216.png,W42,4
217,images/00217.png,W51,4
219,images/00219.png,W39,7
220,images/00220.png,W19,2
222,images/00222.png,W44,2
224,images/00224.png,W30,5
225,images/00225.png,W39,7
227,images/00227.png,W35,3
229,images/00229.png,W05,5
